Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Non-Crime,3,Waitemata,Waitemata East Area,5
Demand,Non-Crime,3,Waitemata,Waitemata East Area,1
Demand,Non-Crime,3,Waitemata,Waitemata East Area,13
Demand,Non-Crime,3,Waitemata,Waitemata East Area,3
Demand,Non-Crime,3,Waitemata,Waitemata East Area,3
Demand,Non-Crime,3,Waitemata,Waitemata East Area,1
Demand,Non-Crime,3,Waitemata,Waitemata East Area,4
Demand,Non-Crime,3,Waitemata,Waitemata East Area,25
Demand,Non-Crime,3,Waitemata,Waitemata East Area,44
Demand,Non-Crime,3,Waitemata,Waitemata East Area,93
Demand,Non-Crime,3,Waitemata,Waitemata East Area,72
Demand,Non-Crime,3,Waitemata,Waitemata East Area,52
Demand,Non-Crime,3,Waitemata,Waitemata East Area,2
Demand,Non-Crime,3,Waitemata,Waitemata East Area,2
Demand,Non-Crime,3,Waitemata,Waitemata East Area,1
Demand,Non-Crime,3,Waitemata,Waitemata East Area,2
Demand,Non-Crime,3,Waitemata,Waitemata East Area,4
Demand,Non-Crime,3,Waitemata,Waitemata East Area,4
Demand,Non-Crime,3,Waitemata,Waitemata East Area,3
Demand,Non-Crime,3,Waitemata,Waitemata East Area,3
Demand,Non-Crime,3,Waitemata,Waitemata East Area,1
Demand,Non-Crime,3,Waitemata,Waitemata East Area,7
Demand,Non-Crime,3,Waitemata,Waitemata East Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,3
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,5
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,5
Demand,Non-Crime,3,Waitemata,Waitemata North Area,13
Demand,Non-Crime,3,Waitemata,Waitemata North Area,54
Demand,Non-Crime,3,Waitemata,Waitemata North Area,13
Demand,Non-Crime,3,Waitemata,Waitemata North Area,61
Demand,Non-Crime,3,Waitemata,Waitemata North Area,26
Demand,Non-Crime,3,Waitemata,Waitemata North Area,12
Demand,Non-Crime,3,Waitemata,Waitemata North Area,46
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,5
Demand,Non-Crime,3,Waitemata,Waitemata North Area,5
Demand,Non-Crime,3,Waitemata,Waitemata North Area,4
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,5
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,3
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,4
Demand,Non-Crime,3,Waitemata,Waitemata North Area,4
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,24
Demand,Non-Crime,3,Waitemata,Waitemata North Area,22
Demand,Non-Crime,3,Waitemata,Waitemata North Area,15
Demand,Non-Crime,3,Waitemata,Waitemata North Area,69
Demand,Non-Crime,3,Waitemata,Waitemata North Area,36
Demand,Non-Crime,3,Waitemata,Waitemata North Area,9
Demand,Non-Crime,3,Waitemata,Waitemata North Area,45
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,4
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,6
Demand,Non-Crime,3,Waitemata,Waitemata North Area,8
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata North Area,1
Demand,Non-Crime,3,Waitemata,Waitemata North Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,9
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,9
Demand,Non-Crime,3,Waitemata,Waitemata West Area,6
Demand,Non-Crime,3,Waitemata,Waitemata West Area,4
Demand,Non-Crime,3,Waitemata,Waitemata West Area,10
Demand,Non-Crime,3,Waitemata,Waitemata West Area,3
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,260
Demand,Non-Crime,3,Waitemata,Waitemata West Area,95
Demand,Non-Crime,3,Waitemata,Waitemata West Area,89
Demand,Non-Crime,3,Waitemata,Waitemata West Area,17
Demand,Non-Crime,3,Waitemata,Waitemata West Area,6
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,13
Demand,Non-Crime,3,Waitemata,Waitemata West Area,4
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,5
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,330
Demand,Non-Crime,3,Waitemata,Waitemata West Area,96
Demand,Non-Crime,3,Waitemata,Waitemata West Area,86
Demand,Non-Crime,3,Waitemata,Waitemata West Area,7
Demand,Non-Crime,3,Waitemata,Waitemata West Area,1
Demand,Non-Crime,3,Waitemata,Waitemata West Area,3
Demand,Non-Crime,3,Waitemata,Waitemata West Area,3
Demand,Non-Crime,3,Waitemata,Waitemata West Area,11
Demand,Non-Crime,3,Waitemata,Waitemata West Area,3
Demand,Non-Crime,3,Waitemata,Waitemata West Area,1
Demand,Non-Crime,3,Waitemata,Waitemata West Area,5
Demand,Non-Crime,3,Waitemata,Waitemata West Area,6
Demand,Non-Crime,3,Waitemata,Waitemata West Area,2
Demand,Non-Crime,3,Waitemata,Waitemata West Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,16
Demand,Non-Crime,3,Wellington,Hutt Valley Area,22
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,12
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,8
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,17
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,9
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,10
Demand,Non-Crime,3,Wellington,Wellington Area,14
Demand,Non-Crime,3,Wellington,Wellington Area,41
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,16
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,41
Demand,Non-Crime,3,Wellington,Hutt Valley Area,62
Demand,Non-Crime,3,Wellington,Hutt Valley Area,18
Demand,Non-Crime,3,Wellington,Hutt Valley Area,45
Demand,Non-Crime,3,Wellington,Hutt Valley Area,36
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,42
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,25
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,80
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,7
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,60
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,35
Demand,Non-Crime,3,Wellington,Wellington Area,14
Demand,Non-Crime,3,Wellington,Wellington Area,61
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,6
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,17
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,15
Demand,Non-Crime,3,Wellington,Hutt Valley Area,13
Demand,Non-Crime,3,Wellington,Hutt Valley Area,12
Demand,Non-Crime,3,Wellington,Hutt Valley Area,11
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,40
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,18
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,11
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,6
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,11
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,9
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,16
Demand,Non-Crime,3,Wellington,Wellington Area,45
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,22
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,461
Demand,Non-Crime,3,Wellington,Hutt Valley Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,11
Demand,Non-Crime,3,Wellington,Hutt Valley Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,83
Demand,Non-Crime,3,Wellington,Hutt Valley Area,111
Demand,Non-Crime,3,Wellington,Hutt Valley Area,38
Demand,Non-Crime,3,Wellington,Hutt Valley Area,125
Demand,Non-Crime,3,Wellington,Hutt Valley Area,106
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,12
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,198
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,17
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,117
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,82
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,163
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,10
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,11
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,9
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,18
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,6
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,184
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,22
Demand,Non-Crime,3,Wellington,Wairarapa Area,13
Demand,Non-Crime,3,Wellington,Wairarapa Area,12
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,120
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,18
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,68
Demand,Non-Crime,3,Wellington,Wellington Area,63
Demand,Non-Crime,3,Wellington,Wellington Area,233
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,69
Demand,Non-Crime,3,Wellington,Wellington Area,88
Demand,Non-Crime,3,Wellington,Wellington Area,217
Demand,Non-Crime,3,Wellington,Wellington Area,34
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,8
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,26
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,15
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,7
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,12
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,21
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,19
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,9
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,11
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,95
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,40
Demand,Non-Crime,3,Wellington,Hutt Valley Area,55
Demand,Non-Crime,3,Wellington,Hutt Valley Area,12
Demand,Non-Crime,3,Wellington,Hutt Valley Area,48
Demand,Non-Crime,3,Wellington,Hutt Valley Area,14
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,43
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,22
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,46
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,8
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,7
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,28
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,15
Demand,Non-Crime,3,Wellington,Wellington Area,33
Demand,Non-Crime,3,Wellington,Wellington Area,30
Demand,Non-Crime,3,Wellington,Wellington Area,82
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,11
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,9
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,6
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,7
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,12
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,18
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,11
Demand,Non-Crime,3,Wellington,Hutt Valley Area,14
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
