Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2008,33,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2009,35,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2010,23,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2011,16,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2012,10,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2013,29,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2014,10,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2005,20167,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2006,21153,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2007,22583,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2008,22585,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2009,22993,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2010,18316,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2011,19309,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2012,17997,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2013,15360,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2014,13256,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2005,31,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2006,12,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2007,6,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2008,10,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2009,4,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2010,12,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2011,10,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2012,4,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2013,7,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2014,7,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2005,2497,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2006,2371,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2007,2667,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2008,2793,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2009,3032,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2010,2669,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2011,2928,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2012,2585,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2013,2402,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2014,2063,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2005,119,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2006,181,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2007,203,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2008,135,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2009,123,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2010,122,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2011,173,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2012,159,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2013,189,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2014,164,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2005,22,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2006,46,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2007,41,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2008,39,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2009,49,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2010,81,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2011,69,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2012,86,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2013,40,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2014,45,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2005,539,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2006,551,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2007,670,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2008,582,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2009,817,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2010,698,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2011,671,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2012,631,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2013,616,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2014,590,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2005,225,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2006,301,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2007,334,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2008,305,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2009,217,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2010,202,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2011,252,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2012,174,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2013,194,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2014,237,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2005,837,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2006,843,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2007,1030,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2008,1271,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2009,959,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2010,847,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2011,936,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2012,729,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2013,599,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2014,526,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2005,3673,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2006,3786,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2007,4230,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2008,3727,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2009,4120,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2010,3538,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2011,3554,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2012,3057,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2013,3167,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2014,2741,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2005,721,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2006,766,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2007,873,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2008,1338,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2009,1044,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2010,607,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2011,435,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2012,373,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2013,415,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2014,494,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2005,2423,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2006,2672,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2007,2324,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2008,2457,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2009,2510,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2010,1786,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2011,1781,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2012,1713,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2013,1502,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2014,1425,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2005,831,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2006,949,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2007,748,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2008,610,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2009,677,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2010,462,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2011,514,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2012,464,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2013,407,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2014,428,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2005,1537,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2006,1457,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2007,1528,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2008,1381,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2009,1673,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2010,1154,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2011,1278,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2012,1198,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2013,1164,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2014,758,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2005,4212,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2006,4317,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2007,4812,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2008,5049,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2009,5257,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2010,4711,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2011,5394,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2012,5556,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2013,3550,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2014,2382,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2005,2333,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2006,2817,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2007,2973,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2008,2694,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2009,2400,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2010,1346,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2011,1225,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2012,1212,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2013,1065,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2014,1347,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2005,167,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2006,84,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2007,144,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2008,194,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2009,111,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2010,81,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2011,89,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2012,56,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2013,43,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2014,49,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2005,19399,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2006,21055,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2007,22006,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2008,23165,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2009,23844,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2005,5,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2006,5,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2007,5,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2008,3,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2009,13,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2010,8,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2005,2946,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2006,3053,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2007,3579,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2008,3781,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2009,3857,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2010,3453,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2005,152,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2006,175,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2007,215,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2008,222,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2009,220,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2010,181,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2005,56,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2006,53,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2007,59,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2008,78,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2009,55,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2010,60,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2005,1056,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2006,990,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2007,1254,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2008,1144,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2009,1134,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2010,850,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2005,155,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2006,193,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2007,134,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2008,187,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2009,174,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2010,211,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2005,1036,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2006,1013,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2007,920,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2008,1295,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2009,927,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2010,781,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2005,3661,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2006,3959,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2007,3795,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2008,4057,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2009,4267,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2010,3427,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2005,777,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2006,988,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2007,877,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2008,796,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2009,688,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2010,614,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2005,2229,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2006,2302,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2007,2274,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2008,2620,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2009,2905,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2010,2247,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2005,725,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2006,799,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2007,873,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2008,696,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2009,823,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2010,591,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2005,1891,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2006,2097,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2007,1958,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2008,1713,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2009,1758,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2010,1522,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2005,3019,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2006,3291,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2007,3627,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2008,3773,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2009,3587,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2010,3104,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2005,1637,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2006,2103,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2007,2366,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2008,2714,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2009,3351,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2005,54,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2006,34,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2007,70,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2008,86,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2009,85,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2010,19695,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2011,19214,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2012,16480,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2013,14538,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2014,12520,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2011,4,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2013,6,
